,names,dob,positon,month,year
9,Ignacio Laquintana ,"<td class=""zentriert"">01/02/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,02,99
10,Nicolás Quagliata ,"<td class=""zentriert"">05/06/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,06,99
11,Rodrigo Piñeiro ,"<td class=""zentriert"">05/05/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,05,99
12,Mauro Brasil ,"<td class=""zentriert"">27/04/1999 (23)</td>",<tr><td>Defensa central</td></tr>,04,99
13,Mauro Méndez ,"<td class=""zentriert"">17/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
14,Alfonso Trezza ,"<td class=""zentriert"">22/06/1999 (23)</td>",<tr><td>Extremo derecho</td></tr>,06,99
15,Rodrigo Formento ,"<td class=""zentriert"">25/09/1999 (23)</td>",<tr><td>Portero</td></tr>,09,99
16,Mathías Laborda ,"<td class=""zentriert"">15/09/1999 (23)</td>",<tr><td>Defensa central</td></tr>,09,99
17,Joaquín Ardaiz ,"<td class=""zentriert"">11/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
18,Luciano Boggio ,"<td class=""zentriert"">10/03/1999 (23)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,99
19,Santiago Silva ,"<td class=""zentriert"">11/05/1999 (23)</td>",<tr><td>Portero</td></tr>,05,99
20,Agustín Cayetano ,"<td class=""zentriert"">09/08/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,08,99
21,Pablo García ,"<td class=""zentriert"">15/04/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,04,99
22,Joaquín Trasante ,"<td class=""zentriert"">14/03/1999 (23)</td>",<tr><td>Pivote</td></tr>,03,99
23,Thiago Vecino ,"<td class=""zentriert"">25/02/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,02,99
24,Erik De Los Santos ,"<td class=""zentriert"">16/01/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,01,99
0,Agustín Chopitea ,"<td class=""zentriert"">10/02/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,02,99
1,Lucas Morales ,"<td class=""zentriert"">25/11/1999 (22)</td>",<tr><td>Interior derecho</td></tr>,11,99
2,Gastón Pérez ,"<td class=""zentriert"">19/10/1999 (23)</td>",<tr><td>Pivote</td></tr>,10,99
3,Joaquín Fernández ,"<td class=""zentriert"">22/01/1999 (23)</td>",<tr><td>Defensa central</td></tr>,01,99
4,Diego Villalba ,"<td class=""zentriert"">20/05/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,05,99
5,Agustín Alfaro ,"<td class=""zentriert"">29/06/1999 (23)</td>",<tr><td>Interior izquierdo</td></tr>,06,99
6,Nahuel Acosta ,"<td class=""zentriert"">11/05/1999 (23)</td>",<tr><td>Mediapunta</td></tr>,05,99
7,Renzo Bacchia ,"<td class=""zentriert"">23/01/1999 (23)</td>",<tr><td>Portero</td></tr>,01,99
8,Emiliano Ancheta ,"<td class=""zentriert"">09/06/1999 (23)</td>",<tr><td>Lateral derecho</td></tr>,06,99
9,Martín Barrios ,"<td class=""zentriert"">24/01/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,01,99
10,Santiago Paiva ,"<td class=""zentriert"">11/01/1999 (23)</td>",<tr><td>Delantero centro</td></tr>,01,99
11,Juan Manuel Boselli ,"<td class=""zentriert"">09/11/1999 (22)</td>",<tr><td>Extremo derecho</td></tr>,11,99
12,Juan Rivero ,"<td class=""zentriert"">27/06/1999 (23)</td>",<tr><td>Extremo izquierdo</td></tr>,06,99
13,Mathías Silvera ,"<td class=""zentriert"">20/03/1999 (23)</td>",<tr><td>Defensa central</td></tr>,03,99
14,Cristian González ,"<td class=""zentriert"">02/01/1999 (23)</td>",<tr><td>Lateral izquierdo</td></tr>,01,99
15,Nicolás Ramos ,"<td class=""zentriert"">10/03/1999 (23)</td>",<tr><td>Defensa central</td></tr>,03,99
16,Mario García ,"<td class=""zentriert"">08/09/1999 (23)</td>",<tr><td>Mediocentro</td></tr>,09,99
17,Franco Muñoz ,"<td class=""zentriert"">06/02/1999 (23)</td>",<tr><td>Pivote</td></tr>,02,99
